State,District,Average Household Income (INR/year),Government Subsidy (INR),Competitor Price (INR),Battery Cost (INR),Battery Lifespan (years),Charging Infrastructure (Stations per 100 sq km),Electricity Cost (INR/kWh),Scooter Range (km per charge),Max Speed (km/h),"Loan Availability (1 = Yes, 0 = No)",Rural Road Quality (1-5 scale),Fuel Price (INR/liter)
Gujarat,Vadodara,130246.65,10000.0,60717.0,28284,7,0,5.0,132,65,1,2,96.08
Punjab,Jalandhar,146190.62,15000.0,85823.0,22615,5,0,4.96,75,77,1,4,103.83
Manipur,Thoubal,133563.76,15000.0,62598.0,37784,7,1,7.28,110,54,0,2,106.36
Karnataka,Mangalore,79659.47,15000.0,91519.0,33440,5,1,6.9,84,56,0,2,102.02
Haryana,Ambala,122672.59,20000.0,73510.0,35800,6,2,6.79,95,71,1,4,99.3
Rajasthan,Kota,145118.97,10000.0,86617.0,27659,7,1,3.51,116,61,1,3,97.04
Gujarat,Surat,211428.6,10000.0,80997.0,25562,4,1,4.96,65,75,1,4,99.91
Uttar Pradesh,Kanpur,260112.16,25000.0,90888.0,16366,6,2,4.12,113,77,1,4,108.83
Odisha,Cuttack,216773.69,20000.0,60972.0,38808,4,0,4.72,99,66,1,3,100.53
Tamil Nadu,Coimbatore,111231.05,10000.0,,35345,6,0,4.17,94,58,1,1,106.03
Karnataka,,115209.52,,47061.0,33623,3,0,3.79,91,61,1,2,99.44
Karnataka,Hubli,142033.57,15000.0,75646.0,24107,3,1,5.71,104,68,1,4,96.82
Telangana,,239227.94,10000.0,,36627,3,0,6.54,117,82,1,3,108.16
Rajasthan,Jaipur,141728.8,15000.0,53931.0,28515,4,1,5.47,95,68,0,3,98.13
Bihar,Patna,83624.63,10000.0,61597.0,31468,5,1,4.65,109,52,1,1,96.21
Haryana,,124941.14,10000.0,65390.0,20031,6,3,3.9,128,56,0,5,100.76
Telangana,,,10000.0,72051.0,24687,3,0,6.94,97,51,1,2,107.78
Assam,Jorhat,184497.01,15000.0,67127.0,39221,4,0,6.06,72,75,1,3,96.44
Sikkim,Gangtok,139989.17,20000.0,76200.0,29742,6,2,4.11,115,64,1,1,97.42
Rajasthan,Jaipur,184170.73,15000.0,62547.0,32942,3,1,4.69,137,76,1,2,105.76
Arunachal Pradesh,Ziro,50000.0,15000.0,67847.0,20239,3,1,6.63,106,52,0,1,100.21
Telangana,Nizamabad,155191.46,15000.0,70664.0,36559,3,1,6.54,93,60,1,5,103.5
Kerala,Thrissur,193034.27,15000.0,,27078,4,1,6.16,92,73,1,4,100.57
Goa,Vasco da Gama,108356.84,15000.0,87732.0,21544,5,0,3.87,88,64,0,2,109.62
Arunachal Pradesh,Tawang,108183.07,15000.0,87804.0,35993,3,0,6.08,90,58,1,3,107.91
West Bengal,,,15000.0,78562.0,19457,3,0,5.94,87,63,1,4,106.59
Rajasthan,Udaipur,229494.78,15000.0,81453.0,35183,5,3,5.94,120,57,1,3,105.03
Andhra Pradesh,,113992.3,15000.0,79678.0,31416,5,1,6.79,108,72,1,4,102.54
Kerala,Kozhikode,162052.16,10000.0,70280.0,29328,7,1,3.97,65,75,1,1,101.09
Uttar Pradesh,Lucknow,180195.85,15000.0,88508.0,33168,3,3,3.61,109,73,1,3,95.09
Sikkim,Mangan,225603.4,15000.0,61282.0,25988,6,0,4.42,74,59,0,5,105.24
Kerala,Thiruvananthapuram,142305.11,20000.0,44277.0,27907,7,2,3.94,103,71,0,4,103.46
Tripura,Udaipur,123028.51,15000.0,59377.0,23462,6,2,6.55,107,60,1,1,96.47
Mizoram,Serchhip,158653.38,,96046.0,27063,5,0,3.81,117,56,0,2,105.42
Uttarakhand,Haridwar,214204.01,10000.0,70568.0,38201,7,1,4.95,115,68,0,5,102.94
Uttarakhand,Almora,141491.37,15000.0,79111.0,23635,4,5,7.09,111,66,0,1,100.06
Jharkhand,,,15000.0,70890.0,26733,7,0,7.09,119,69,1,2,98.44
West Bengal,Siliguri,72962.11,15000.0,,27062,7,0,4.93,110,66,1,4,104.58
West Bengal,Siliguri,88935.13,20000.0,76060.0,29094,5,1,5.92,100,56,1,2,97.92
Meghalaya,Nongstoin,193219.57,20000.0,73971.0,23339,3,0,4.29,86,77,1,2,102.64
Manipur,Imphal,133968.78,15000.0,84206.0,33902,5,0,3.81,90,55,1,1,106.04
Manipur,Churachandpur,119623.95,15000.0,68014.0,23734,5,1,6.56,88,70,0,2,106.88
Odisha,Sambalpur,114201.64,20000.0,80581.0,25497,5,1,3.53,97,47,1,5,101.32
Kerala,Kochi,154252.29,15000.0,72379.0,17025,6,1,6.82,124,55,0,3,101.03
Tamil Nadu,Chennai,138027.25,20000.0,73388.0,39927,4,0,4.85,111,69,0,1,102.95
Punjab,Amritsar,136343.39,20000.0,62721.0,15368,6,1,4.03,85,68,1,4,100.02
Tripura,,217466.2,15000.0,71760.0,29735,7,0,5.52,106,71,0,2,107.98
Assam,Silchar,226900.81,15000.0,66881.0,28070,5,3,7.39,114,69,1,5,104.9
Chhattisgarh,Raipur,69498.92,15000.0,91948.0,21168,3,1,6.44,95,71,1,3,100.48
Odisha,Bhubaneswar,166379.64,10000.0,49738.0,39063,5,0,6.54,108,57,0,2,97.62
Gujarat,,111156.9,15000.0,88338.0,35811,6,0,5.13,81,48,1,3,109.66
Rajasthan,Jaipur,137587.44,10000.0,48836.0,25344,4,3,5.3,96,63,1,3,109.42
Himachal Pradesh,Shimla,165463.92,15000.0,83058.0,15779,6,0,6.87,96,65,1,2,98.49
Gujarat,Rajkot,139364.0,20000.0,62434.0,30224,5,1,3.84,85,67,0,2,99.14
Nagaland,Dimapur,161522.99,10000.0,83494.0,24675,4,2,3.72,122,81,0,3,99.3
Bihar,Bhagalpur,183648.51,10000.0,73179.0,22666,3,2,6.26,115,45,1,3,100.16
Tripura,,164728.84,15000.0,53514.0,33869,6,1,4.59,106,61,0,2,99.73
West Bengal,Howrah,117658.18,15000.0,95379.0,26632,6,1,7.5,78,71,1,5,95.17
Maharashtra,,118540.02,15000.0,86649.0,37671,7,2,7.48,127,73,1,4,106.61
Nagaland,Mokokchung,78014.74,15000.0,82547.0,34133,4,3,6.07,102,55,0,2,103.59
Uttar Pradesh,Lucknow,107303.99,15000.0,65394.0,19169,6,1,5.35,100,63,1,2,96.21
Himachal Pradesh,Kullu,248103.42,10000.0,87166.0,37409,7,2,3.53,135,36,1,4,109.58
Uttar Pradesh,Varanasi,110399.82,25000.0,55751.0,38642,3,2,5.91,110,79,0,2,100.02
Rajasthan,Jaipur,90331.06,10000.0,41585.0,24267,6,0,3.86,93,64,0,1,107.88
Arunachal Pradesh,Pasighat,165996.39,15000.0,51565.0,28085,6,0,7.12,89,57,1,4,109.1
Punjab,,,,61170.0,26872,5,2,3.96,85,54,0,5,95.24
West Bengal,Siliguri,140220.34,20000.0,63677.0,24231,6,1,3.9,106,55,0,2,109.43
Manipur,Thoubal,220452.3,10000.0,68477.0,34086,3,3,6.38,140,64,0,2,100.58
West Bengal,Durgapur,177456.33,15000.0,69143.0,32399,7,1,4.11,99,72,0,5,96.5
Gujarat,,123500.35,15000.0,65252.0,19622,4,3,5.84,80,58,1,5,103.5
Kerala,Thrissur,128776.2,15000.0,43255.0,39528,3,1,6.68,85,87,1,5,95.59
Haryana,Faridabad,124870.67,15000.0,77881.0,39172,4,2,3.51,89,71,1,1,99.54
Manipur,Thoubal,,15000.0,71029.0,37641,3,2,4.11,115,75,1,1,107.53
Assam,Dibrugarh,134592.62,10000.0,64554.0,20206,7,2,4.21,110,48,1,2,106.89
Maharashtra,Nagpur,60342.32,15000.0,95970.0,17273,5,2,5.72,101,51,0,4,109.57
Mizoram,Aizawl,147584.02,15000.0,71367.0,31034,7,2,6.69,118,56,0,4,95.44
Bihar,Bhagalpur,73148.7,15000.0,75877.0,37651,4,5,6.94,120,71,1,3,103.28
Nagaland,Dimapur,259211.53,10000.0,86937.0,33026,4,1,3.75,94,62,1,3,96.56
Haryana,Ambala,101716.6,10000.0,52652.0,29464,6,0,5.53,93,49,0,2,108.65
Bihar,,141906.76,,74660.0,33776,5,2,6.98,119,84,1,5,95.56
Arunachal Pradesh,Tawang,162910.14,10000.0,86888.0,35773,7,2,3.78,120,61,1,3,108.84
